pair_str,config,gpusim_version,jobId,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,l2_rshr_entry_fail,l2_rshr_merge_fail,l2_total_accesses,mem_count,empty_warp,stall_warp,idle_warp,scoreboard_warp,tot_warp_insn,runtime,instructions,l2_bw,avg_mem_lat,avg_core_to_l2,avg_l2_to_core,avg_mrq_latency,dram_eff,dram_bw,row_buffer_locality,mem_idle,total_cmd
parb_sad-0-nvd_conv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-INTRA_0:0.5:0.5_RATIO-CAP_996275_CYCLE,commit_24cda_modified_0,889925,7510796,0,30775982,0.9806,0.9202,3521,0,7259117,3493589,2738063,16662621,1510192,110016564,43468764,[[] [82322 64189 44620 62547 49004 35188 53751 49658 34062 41916 25484 9014] [220594 262214] ],[[] [138709296 4380156 1151370 138709296 4380156 1151370 138709296 4380156 1151370 138709296 4380156 1151370] [405798912 365518848] ],[[] [83.7783 169.7403 63.4555 80.4014 219.0549 76.2631 88.6748 216.1808 78.7898 112.4040 420.2287 297.3295] [460.4118 388.3447] ],[[] [1117 1167 646 1402 980 537 680 1067 501 317 379 194] [1867 759] ],[[] [649 425 117 968 296 82 476 351 57 165 32 21] [1211 196] ],[[] [226 15 14 62 17 14 31 11 11 12 9 7] [36 13] ],[[] [182 239 212 136 267 242 281 265 255 62 262 27] [204 231] ],[0.7386 0.7371 0.7395 0.7391 0.7378 0.7376 0.7396 0.7377 0.7442 0.7439 0.7449 0.7427 0.744 0.7444 0.7419 0.7427 0.7404 0.7397 0.7406 0.7404 0.7391 0.7386 0.7389 0.7394],[0.677 0.6768 0.6776 0.6777 0.6769 0.6767 0.6775 0.6768 0.6837 0.6834 0.6831 0.6824 0.6829 0.683 0.6817 0.6818 0.6782 0.6785 0.6783 0.6785 0.6782 0.6779 0.6774 0.6777],[0.095506 0.092328 0.091448 0.091793 0.096068 0.092282 0.088162 0.089757 0.084632 0.086438 0.086278 0.084472 0.086261 0.084181 0.084163 0.086961 0.090492 0.092007 0.091795 0.090726 0.090634 0.093028 0.092978 0.092753],[35380 35120 35395 35196 35174 35169 35363 35023 34011 34030 35282 34466 34630 35055 33882 34253 35416 35160 35311 35808 35073 34944 35311 35316],[390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868 390868]
parb_sad-0-nvd_conv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-INTRA_0:0.75:0.25_RATIO-CAP_996275_CYCLE,commit_24cda_modified_0,889926,4440838,0,34010802,0.9775,0.9151,623,0,7731591,3637273,2386310,16513607,1742900,108288116,48274323,[[] [66336 57249 41509 54142 32137 22807 44225 38966 21852 44079 39674 22444 40851 25245 9091] [224071 285530] ],[[] [138709296 4380156 1151370 138709296 4380156 1151370 138709296 4380156 1151370 138709296 4380156 1151370 138709296 4380156 1151370] [405798912 365518848] ],[[] [105.7065 190.2292 68.1670 92.5566 333.4420 117.5521 106.7611 275.2706 122.6983 106.3830 270.3786 119.4773 114.6764 424.2071 294.8111] [453.5331 356.6306] ],[[] [1261 1032 651 1062 559 307 706 731 321 767 743 321 607 381 194] [937 401] ],[[] [896 334 107 706 105 34 548 128 29 607 129 28 459 32 21] [346 57] ],[[] [139 15 16 79 13 9 21 10 9 24 10 9 13 9 7] [27 10] ],[[] [191 240 214 179 230 179 177 274 216 178 274 215 88 264 27] [204 158] ],[0.7449 0.7442 0.7443 0.7441 0.7442 0.7438 0.7449 0.7449 0.7447 0.7457 0.7465 0.7446 0.7447 0.7454 0.7447 0.7452 0.7443 0.744 0.7447 0.7447 0.745 0.7445 0.7452 0.7453],[0.7047 0.7041 0.7048 0.7044 0.7045 0.7044 0.7046 0.7048 0.7047 0.705 0.7055 0.705 0.7051 0.7054 0.7051 0.7046 0.7046 0.7046 0.7047 0.7054 0.7051 0.7048 0.7044 0.705],[0.109869 0.110282 0.110620 0.109743 0.108987 0.110487 0.112208 0.108878 0.109229 0.109191 0.106711 0.107805 0.107443 0.104847 0.107393 0.109000 0.113918 0.113429 0.114807 0.112443 0.112382 0.111711 0.114522 0.112267],[23268 23408 23195 23286 23123 23256 23226 23489 23193 23452 23665 23222 23058 23170 23221 23691 23179 22888 23299 22960 23320 23020 23566 23272],[397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133 397133]
parb_sad-0-nvd_conv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-INTRA_0:0.25:0.75_RATIO-CAP_996275_CYCLE,commit_24cda_modified_0,889924,10595947,0,24324211,0.9840,0.9274,2233,0,6786691,3349721,2783764,17778947,2018950,106259834,38663205,[[] [137416 66651 40739 85279 54959 39406 69127 24589 9276] [221274 257404] ],[[] [138709296 4380156 1151370 138709296 4380156 1151370 138709296 4380156 1151370] [405798912 365518848] ],[[] [51.6713 163.4704 69.4563 57.4440 195.3307 68.1077 68.1620 435.5243 288.9314] [458.7487 395.7024] ],[[] [1593 1373 747 1078 1305 747 463 380 194] [3381 1246] ],[[] [1140 634 227 677 520 156 213 31 21] [2676 521] ],[[] [54 16 12 12 13 13 21 9 7] [37 16] ],[[] [204 259 141 163 275 236 203 265 27] [200 239] ],[0.7084 0.7072 0.7064 0.7073 0.7066 0.7069 0.7073 0.7065 0.7114 0.7107 0.7119 0.713 0.7115 0.7118 0.7118 0.7119 0.7066 0.7086 0.7082 0.7075 0.7061 0.707 0.707 0.7092],[0.6728 0.6727 0.6718 0.6721 0.6726 0.6724 0.6726 0.6726 0.6782 0.6779 0.6778 0.6784 0.6774 0.6777 0.6776 0.6782 0.6718 0.6721 0.6726 0.6725 0.672 0.6719 0.6726 0.6733],[0.092908 0.095481 0.096697 0.093126 0.094389 0.094615 0.094820 0.097057 0.088251 0.089142 0.087664 0.089360 0.089200 0.087998 0.085332 0.088676 0.096940 0.094336 0.094766 0.096506 0.094871 0.096745 0.097268 0.092589],[22006 21548 21634 22282 21486 21563 21712 21693 20716 20599 21094 21101 20906 20654 20705 20667 21763 22414 21965 21601 21554 21771 21239 22181],[373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653 373653]
parb_sad-1-nvd_conv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-INTRA_0:0.75:0.25_RATIO-CAP_14668852_CYCLE,commit_24cda_modified_0,889929,171935404,0,642097961,0.9733,0.8947,6815,0,106899488,46696836,143219,327337039,2044869,1666405805,681227976,[[] [3972817 3369631 815225] [240743 273236 236232 271731 235175 270894 233487 270334 236019 270015 234880 269639 236842 272779 235371 424115 481037 755740 478316 751484 467278 619902 405751 196961] ],[[] [11264876160 355721760 93505200] [405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848] ],[[] [145.6974 258.8288 267.5483] [422.2269 372.6898 429.0100 373.8990 430.9565 375.0849 434.0432 375.8286 429.4102 376.3711 431.4324 376.7925 427.9025 372.5456 430.5689 239.5773 210.6234 134.4216 211.8537 135.2000 216.8436 163.8755 249.7206 515.8932] ],[[] [1046 15682 6455] [863 360 885 369 884 361 861 361 890 360 869 361 892 362 875 692 3507 1446 3403 1437 2507 1079 2696 282] ],[[] [755 14678 5494] [340 85 335 92 332 86 312 86 336 84 317 86 338 88 321 176 2522 357 2436 354 1534 255 1863 32] ],[[] [75 10 11] [31 19 32 20 31 19 35 19 35 20 37 19 34 18 37 16 11 9 10 9 9 10 16 9] ],[[] [176 307 302] [170 125 183 122 183 123 182 123 183 123 183 124 183 121 182 184 255 296 255 296 261 253 232 108] ],[0.6703 0.6704 0.6708 0.6705 0.6703 0.6705 0.6702 0.6703 0.673 0.6728 0.6727 0.6731 0.6733 0.6729 0.6731 0.6731 0.6706 0.6702 0.6704 0.6705 0.67 0.6704 0.6703 0.6703],[0.6642 0.6641 0.6644 0.6642 0.664 0.664 0.6638 0.664 0.6642 0.6641 0.6642 0.6643 0.6643 0.6643 0.6643 0.6642 0.664 0.6639 0.664 0.664 0.6637 0.6639 0.6637 0.6638],[0.105475 0.104488 0.105341 0.105394 0.105540 0.105421 0.105002 0.105774 0.099877 0.100438 0.100460 0.099709 0.100515 0.100064 0.099904 0.099445 0.106304 0.105798 0.106042 0.106562 0.105844 0.105755 0.105759 0.105789],[80030 81286 82796 81831 82357 83390 82729 82526 111205 110802 109591 110859 112063 110566 112491 113408 83475 80887 83295 82671 82761 82611 84058 84809],[5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355 5927355]
parb_sad-1-nvd_conv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-INTRA_0:0.25:0.75_RATIO-CAP_14668852_CYCLE,commit_24cda_modified_0,889927,270132361,0,644912136,0.9832,0.9276,193239,0,168699723,81742359,1197154,386276406,4299535,2747135081,972186312,[[] [8056737 3673608 887088] [212802 234088 222302 225967 219790 227994 220308 226751 220342 226737 220045 224193 221682 225834 222283 225865 222659 225946 222149 225991 222516 226198 219374 226091 221334 224629 219800 226083 221926 224950 220559 228430 221034 225640 222588 224513 428702 445617 431044 438456 429804 433316 427529 433218 389280 421520 325674 197972] ],[[] [11264876160 355721760 93505200] [405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848] ],[[] [64.0406 237.5545 245.9018] [476.9856 435.1184 455.7861 449.7409 460.9496 445.6960 459.8908 448.1022 459.8540 448.2623 460.5005 453.2780 457.0411 449.9377 455.8461 449.9110 455.0533 449.7436 456.0990 449.6299 455.3747 449.2595 461.9696 449.4304 457.7472 452.4010 460.9600 449.4986 456.5244 451.7574 459.4183 444.8705 458.4818 450.3733 455.2271 452.6375 236.4214 228.1021 235.1233 231.8120 235.7688 234.5612 237.0460 234.5923 260.3472 241.1338 311.1740 513.2614] ],[[] [1022 2716 1443] [3073 979 3448 1017 3425 1016 3421 1003 3426 998 3448 1007 3428 993 3431 1012 3441 995 3440 1026 3424 1018 3408 1036 3422 1001 3416 994 3433 993 3428 1002 3433 1001 3441 1007 7382 2359 5317 2091 4714 2054 4657 2012 4906 1789 4511 918] ],[[] [587 1967 778] [2450 334 2789 353 2766 363 2760 354 2770 346 2793 336 2765 347 2773 356 2781 342 2780 356 2767 356 2751 361 2761 350 2758 341 2775 339 2769 360 2775 346 2781 348 6411 1441 4492 1203 3983 1207 3932 1141 4179 978 3725 301] ],[[] [18 10 10] [21 18 22 20 20 19 21 20 20 20 19 20 21 19 20 21 22 19 21 20 21 22 20 20 21 19 20 19 19 20 21 19 21 19 22 20 13 10 10 10 10 10 10 11 11 12 17 15] ],[[] [235 266 246] [185 236 195 236 196 236 197 235 196 236 197 237 197 233 195 234 196 234 196 236 196 233 197 236 197 235 197 235 197 235 197 234 196 235 197 236 250 260 233 261 222 259 220 259 213 255 213 219] ],[0.7033 0.703 0.7036 0.7036 0.7033 0.7035 0.7028 0.7029 0.7109 0.7109 0.7122 0.7124 0.712 0.7123 0.7113 0.7112 0.703 0.7029 0.7034 0.7037 0.7039 0.7036 0.7027 0.7028],[0.6991 0.6988 0.6994 0.6995 0.6992 0.6993 0.6986 0.6987 0.7056 0.7056 0.7069 0.7068 0.7066 0.7065 0.7057 0.7058 0.699 0.6989 0.6995 0.6996 0.6998 0.6995 0.6986 0.6989],[0.097697 0.098257 0.096898 0.096864 0.097280 0.097115 0.097284 0.097681 0.088416 0.088007 0.087814 0.088027 0.087602 0.088472 0.088138 0.088538 0.098086 0.098282 0.097336 0.097815 0.098015 0.097460 0.098512 0.098107],[100862 100777 99436 98641 98379 99017 99583 102157 126048 125956 124610 128501 125121 130791 127607 125341 97867 96342 95005 100107 97481 97999 97817 96496],[9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263 9103263]
parb_sad-1-nvd_conv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-INTRA_0:0.5:0.5_RATIO-CAP_14668852_CYCLE,commit_24cda_modified_0,889928,215917502,0,722975451,0.9793,0.9126,31397,0,132581752,61388436,404727,396722406,2379613,1933157462,802460616,[[] [4797906 3794839 916399] [205369 235305 209620 225495 206411 226657 211218 227875 209780 226528 209596 226681 211102 223349 207616 232425 207522 230516 206688 227398 208391 229888 461354 486249 456646 480911 452873 480814 455175 469724 407623 437947 225125 179149] ],[[] [11264876160 355721760 93505200] [405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848 405798912 365518848] ],[[] [113.8778 230.7456 238.7305] [494.4812 432.9088 483.3571 450.6274 490.7854 448.2457 479.6769 445.8953 482.9885 448.6193 483.4418 448.2457 479.8794 454.8970 487.9931 437.1872 488.2852 440.8034 490.1217 446.8188 486.2077 441.9832 219.5952 208.9872 221.8826 211.3244 223.7469 211.3450 222.5724 216.3653 248.6695 232.0567 450.0246 567.1554] ],[[] [848 8132 2723] [1777 609 1882 602 1751 601 1890 604 1932 609 1877 613 1915 604 1849 627 1860 616 1882 604 1898 629 6674 1982 6185 1875 6146 1894 5858 1858 2989 1426 2099 504] ],[[] [467 7205 2011] [1078 110 1140 112 1039 122 1192 118 1212 116 1182 120 1206 120 1153 124 1149 132 1161 113 1167 124 5662 977 5175 889 5144 897 4854 898 2261 607 1455 67] ],[[] [85 9 9] [66 24 78 25 62 22 80 23 80 23 65 26 65 22 69 26 64 22 65 24 94 23 11 9 10 9 10 9 9 10 12 10 24 13] ],[[] [236 296 271] [204 232 213 230 214 229 207 228 213 232 210 232 211 230 208 230 211 225 214 229 210 232 251 268 249 267 247 265 250 265 231 253 193 207] ],[0.7194 0.7194 0.72 0.7206 0.7206 0.7194 0.719 0.719 0.7209 0.721 0.7219 0.7218 0.7219 0.7224 0.7209 0.7205 0.7186 0.7187 0.7198 0.7193 0.7193 0.719 0.7184 0.7181],[0.7147 0.7148 0.7155 0.7158 0.7154 0.7147 0.7142 0.7141 0.7166 0.7166 0.7176 0.7172 0.7172 0.7175 0.7163 0.7161 0.714 0.7141 0.7151 0.7148 0.7143 0.7143 0.7137 0.7135],[0.084124 0.083922 0.084065 0.083656 0.083563 0.084066 0.084253 0.084215 0.077672 0.076983 0.077142 0.077023 0.076472 0.076339 0.077002 0.077142 0.085045 0.084711 0.084530 0.084737 0.085124 0.084651 0.084469 0.084367],[62844 62035 60399 62976 67243 62231 63651 65126 58366 60640 60490 61282 61651 64276 62034 60386 62111 62228 61978 62172 65848 62483 62046 62149],[6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040 6941040]
