pair_str,config,gpusim_version,jobId,1_grid_x,1_grid_y,1_grid_z,1_block_x,1_block_y,1_block_z,1_ctas/SM,1_runtime,1_instructions,1_avg_mem_lat,1_avg_core_to_l2,1_avg_l2_to_core,1_avg_mrq_latency,2_grid_x,2_grid_y,2_grid_z,2_block_x,2_block_y,2_block_z,2_ctas/SM,2_runtime,2_instructions,2_avg_mem_lat,2_avg_core_to_l2,2_avg_l2_to_core,2_avg_mrq_latency,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,runtime,l2_rshr_entry_fail,l2_rshr_merge_fail,dram_bw
parb_cutcp-0-rod_lavamd-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_13130112_CYCLE-INTER_0:20:60_SM,commit_5c787_modified_0,572881,11,11,1,8,2,8,0,640308,469895962,210,49,18,18,1000,1,1,128,1,1,0,5919149,13474724576,1013,843,37,27,13907,0,31318466,0.8737,0.1698,6819175,0,46063,[0.010164 0.009589 0.009485 0.009833 0.009735 0.010069 0.009758 0.009245 0.016800 0.015631 0.016325 0.017565 0.016389 0.016952 0.016776 0.015910 0.010188 0.010005 0.009636 0.010137 0.009795 0.010181 0.010219 0.009586]
parb_cutcp-0-rod_lavamd-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_11368157_CYCLE-INTER_0:8:72_SM,commit_5c787_modified_0,659394,11,11,1,8,2,8,0,799789,469895962,220,55,17,14,1000,1,1,128,1,1,0,4884441,13474724576,1192,995,51,39,124725,0,30962978,0.8769,0.3256,5695181,526,18784,[0.021153 0.020650 0.020834 0.021186 0.020878 0.021393 0.021097 0.020716 0.035778 0.035006 0.035206 0.035999 0.035349 0.036012 0.036069 0.035311 0.021530 0.020954 0.020903 0.021159 0.020751 0.021371 0.021114 0.020822]
parb_cutcp-0-rod_lavamd-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_10504090_CYCLE-INTER_0:12:68_SM,commit_5c787_modified_0,639747,11,11,1,8,2,8,0,683137,469895962,219,48,18,19,1000,1,1,128,1,1,0,5263411,13474724576,1166,979,47,35,30843,0,31139924,0.8743,0.2797,6077238,25,27822,[0.017301 0.016835 0.016485 0.016767 0.016992 0.017485 0.017195 0.016762 0.029348 0.028433 0.028356 0.029560 0.028855 0.029372 0.029721 0.028953 0.017119 0.016837 0.016439 0.016957 0.016690 0.017099 0.017110 0.016763]
parb_cutcp-0-rod_lavamd-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_13130112_CYCLE-INTER_0:16:64_SM,commit_7b896_modified_0,153,11,11,1,8,2,8,0,649200,469895962,209,46,21,17,1000,1,1,128,1,1,0,5801488,13474724576,1240,1055,48,30,9930,0,31317666,0.8741,0.2150,6902110,0,22378,[0.012973 0.011943 0.012226 0.012026 0.011603 0.012770 0.012240 0.012164 0.021765 0.020587 0.021213 0.021087 0.019888 0.021139 0.020821 0.020288 0.012224 0.011486 0.011924 0.011763 0.011629 0.012302 0.011897 0.011721]
parb_cutcp-0-parb_stencil-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_1576027_CYCLE-INTER_0:36:44_SM,commit_5c787_modified_0,572873,11,11,1,8,2,8,0,641676,469895962,290,38,52,132,8,128,1,32,4,1,0,407312,644994210,1081,767,47,131,438365,0,7941098,0.9954,0.7706,819259,0,17242,[0.615246 0.614817 0.615253 0.614725 0.614108 0.615287 0.614830 0.615084 0.621554 0.621391 0.621160 0.620984 0.621699 0.621918 0.621572 0.621101 0.613317 0.613755 0.614553 0.613991 0.614293 0.613962 0.613629 0.612980]
parb_cutcp-0-parb_stencil-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_1260822_CYCLE-INTER_0:40:40_SM,commit_5c787_modified_0,639739,11,11,1,8,2,8,0,635186,469895962,262,35,53,94,8,128,1,32,4,1,0,453094,644994210,1228,947,53,96,77922,0,7941354,0.9933,0.7681,900896,0,17393,[0.555792 0.556148 0.555874 0.555441 0.555487 0.555719 0.556200 0.556018 0.558651 0.559356 0.559223 0.559538 0.559158 0.559674 0.559994 0.558847 0.555455 0.555846 0.555658 0.555093 0.555114 0.555018 0.556151 0.555648]
parb_cutcp-0-parb_stencil-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_1576027_CYCLE-INTER_0:32:48_SM,commit_7b896_modified_0,145,11,11,1,8,2,8,0,638304,469895962,337,45,42,155,8,128,1,32,4,1,0,449777,644994210,863,469,36,157,2840426,0,7940330,0.9932,0.7883,880791,1658,26213,[0.584698 0.585604 0.583844 0.583206 0.582791 0.583108 0.583276 0.583473 0.593246 0.593009 0.591193 0.591771 0.590699 0.591230 0.591954 0.592268 0.582754 0.582975 0.581736 0.582166 0.580404 0.580144 0.581717 0.581185]
parb_stencil-0-rod_hotspot-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_872104_CYCLE-INTER_0:36:44_SM,commit_5c787_modified_0,639749,8,128,1,32,4,1,0,503480,644994210,1207,842,40,162,43,43,1,16,1,1,0,33723,89989280,477,224,47,55,1577125,0,6732572,0.9967,0.6828,510111,0,0,[0.671866 0.672539 0.671991 0.672790 0.672503 0.672284 0.672248 0.672057 0.678564 0.678143 0.679020 0.678555 0.678768 0.678981 0.678301 0.678514 0.672414 0.672359 0.672447 0.671642 0.672785 0.671739 0.671786 0.672359]
parb_stencil-0-rod_hotspot-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_989327_CYCLE-INTER_0:32:48_SM,commit_5c787_modified_0,659395,8,128,1,32,4,1,0,647368,644994210,1409,1135,39,116,43,43,1,16,1,1,0,32138,89989280,512,258,54,48,81276,0,8139740,0.9926,0.6176,649705,0,0,[0.564183 0.564224 0.564196 0.563885 0.564585 0.564024 0.563794 0.565313 0.569479 0.569928 0.569320 0.570009 0.569991 0.570522 0.570445 0.569383 0.564305 0.564022 0.563998 0.564177 0.564159 0.564379 0.564124 0.563940]
parb_stencil-0-rod_hotspot-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_1090130_CYCLE-INTER_0:40:40_SM,commit_7b896_modified_0,155,8,128,1,32,4,1,0,489186,644994210,935,506,33,195,43,43,1,16,1,1,0,36832,89989280,506,229,53,83,2362267,0,6380844,0.9976,0.6955,512615,289,0,[0.651514 0.651784 0.652285 0.652786 0.654015 0.652489 0.652213 0.653100 0.659641 0.658661 0.658727 0.659112 0.660010 0.659842 0.659726 0.659498 0.652453 0.651908 0.652076 0.651872 0.652406 0.653062 0.652442 0.652062]
