Benchmark_Set,Kernel,DRAM_BANDWIDTH_UTIL,REGISTER_USAGE,SHARED_USAGE,OCCUPANCY,FP16,FMA,FP64,ALU,SPU,Tensor,Ld/St
Resnet50 Training & Rodinia,bn_bw_1C11_kernel_new & huffman,90.18081376334467,84.89283414478285,15.976934722087233,166.7305146827168,0.0,22.313567095805176,0.0,29.35138267773967,1.9206818181818184,0.0,41.96473904821542
Resnet50 Training & Rodinia,bn_bw_1C11_kernel_new & heartwall,86.31663636363636,86.67401136363637,27.947092107599442,122.37127272727272,0.0,35.57113636363637,0.006000000000000003,24.35063636363637,4.730681818181818,0.0,75.76627272727274
Resnet50 Training & Resnet50 Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & volta_scudnn_128x64_stridedB_small_nn_v1,90.20922448979593,67.92669897959185,93.316,108.4037959183674,0.0,96.03163265306122,0.0,19.42799999999999,5.6880000000000015,0.0,57.52487755102042
Resnet50 Training & Resnet50 Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & volta_scudnn_128x64_stridedB_splitK_medium_nn_v1,96.91789115646259,69.9953656462585,97.45333333333332,109.43812925170072,0.0,74.62996598639455,0.0,17.933333333333323,4.35,0.0,48.12387755102042
Resnet50 Training & Resnet50 Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & volta_scudnn_128x128_stridedB_splitK_xregs_large_nn_v1,90.64122448979592,83.76869897959185,53.125,110.07479591836739,0.0,91.67663265306122,0.0,16.68999999999999,2.71,0.0,49.57387755102042
Resnet50 Training & GNMT Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & turing_fp16_s884gemm_fp16_128x64_ldg8_f2f_nn,111.71227712137487,57.59223516380238,49.993684210526325,97.57321697099897,0.0,5.196632653061228,0.0,11.497894736842095,0.6657894736842108,42.56236842105263,30.44624597207305
Resnet50 Training & Arioc,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & baseCountJs_Kernel,83.52789115646259,55.21140731292518,0.0,136.7970181405896,0.0,5.091077097505673,0.0,9.120555555555546,0.0,0.0,16.31609977324264
Resnet50 Training & Arioc,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & baseAlignG_Kernel1,94.40964554242751,56.14462003222342,0.6706907894736842,106.53690118152528,0.0,23.89189581095597,0.0,58.196842105263144,0.0,0.0,27.454930182599366
Resnet50 Training & Arioc,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & baseLoadJs_KernelD,84.22400226757371,41.637448979591845,0.0,150.2547959183674,0.0,5.146077097505673,0.0,9.19999999999999,0.0,0.0,16.21276643990931
Resnet50 Training & Arioc,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & baseMaxV_Kernel,88.65511337868482,52.84526147959184,0.7017013888888888,107.52924036281183,0.0,28.838299319727895,0.04555555555555557,68.82555555555554,0.0527777777777778,0.0,33.03998866213153
Resnet50 Training & Arioc,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & baseAlignG_Kernel2,89.98859291084855,31.64171707169711,0.0,106.49005907626213,0.0,7.175053705692807,0.0,15.581578947368413,0.016315789473684214,0.0,18.293351235230947
Resnet50 Training & Arioc,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & _kernel_agent,93.09350755635025,30.18202050538481,8.032333329559547,103.82762658391076,0.0,8.110010917593659,0.0,15.272299915753988,0.018037068239258637,0.0,23.295478224988393
Resnet50 Training & Arioc,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & baseMaxVw_Kernel,84.82122448979592,43.792136479591846,0.7265625,108.32479591836739,0.0,33.73663265306123,0.01,71.46,0.01,0.0,33.58387755102042
Resnet50 Training & Rodinia,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & leukocyte,82.62497248664694,50.82857619743097,21.177134701089738,118.84974128112256,0.0,21.440200171154597,75.28461012813925,17.195031422168206,5.198644231221774,0.0,20.47912686833816
Resnet50 Training & Rodinia,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & huffman,91.11090188950423,47.89332644823834,13.859630700425301,165.08053787381147,0.0,16.224063385230043,0.0,29.465246314103297,0.0,0.0,45.85634387196311
Resnet50 Training & Rodinia,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & hotspot,88.50122448979593,86.44729272959185,18.189375,182.08479591836738,0.0,11.366632653061227,86.7,18.88999999999999,2.12,0.0,25.21387755102042
Resnet50 Training & Rodinia,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ & heartwall,87.24672448979592,49.674503667091855,25.82978808593751,120.72129591836739,0.0,29.481632653061233,0.006000000000000003,24.464499999999994,2.81,0.0,79.65787755102042
Resnet50 Training & Resnet50 Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & bn_fw_tr_1C11_kernel_NCHW,99.75851253918498,67.8003113244514,0.7502683327414772,143.15544984326016,0.0,15.251112852664582,0.0,10.498335423197494,4.192727272727273,0.0,19.784537617554868
Resnet50 Training & Resnet50 Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & dgrad2d_alg1_1,35.51427011494256,99.6669590517241,71.68822516025641,127.71491954022986,0.0,48.45376436781609,0.0,18.419017241379315,0.8466666666666667,0.0,38.427643678160926
